HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,Latitude,Longitude
18900 88TH AVE ,Fatal/Injury Collision,1,2011,49.1045154,-122.8011739
7300 137TH ST ,Fatal/Injury Collision,1,2011,49.1628275,-122.6905698
17400 32ND AVE ,Fatal/Injury Collision,1,2011,49.038397,-122.757101
13200  MELVILLE PL,Fatal/Injury Collision,1,2011,49.1256536,-122.7062946
7600 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.13115500000001,-122.8455646
7000 128TH ST ,Fatal/Injury Collision,1,2011,49.16044040000001,-122.8346595
16200 BEACH RD ,Fatal/Injury Collision,1,2011,49.0310991,-122.7544776
13600 100TH AVE ,Fatal/Injury Collision,1,2011,49.1236,-122.831939
13500 BENTLEY RD ,Fatal/Injury Collision,1,2011,49.174586,-122.8234233
1600  140TH ST,Fatal/Injury Collision,1,2011,49.1045154,-122.8011739
7900 128TH ST ,Fatal/Injury Collision,1,2011,49.18451959999999,-122.8740209
13300 72ND AVE ,Fatal/Injury Collision,1,2011,49.1763112,-122.8818603
17300  56TH AVE,Fatal/Injury Collision,1,2011,49.1063316,-122.810055
15800 26TH AVE ,Fatal/Injury Collision,1,2011,49.1168214,-122.8537999
17800 104TH AVE ,Fatal/Injury Collision,1,2011,49.18408059999999,-122.8203375
100 176TH ST ,Fatal/Injury Collision,1,2011,49.1914247,-122.803634
12700 112B AVE ,Fatal/Injury Collision,1,2011,49.135039,-122.8455755
14600 104TH AVE ,Fatal/Injury Collision,1,2011,49.1646462,-122.8903445
13400 108TH AVE ,Fatal/Injury Collision,1,2011,49.14057529999999,-122.8458188
13300 105TH AVE ,Fatal/Injury Collision,1,2011,49.1591691,-122.7984697
10300 152ND ST ,Fatal/Injury Collision,1,2011,49.1098115,-122.8576056
12400 88TH AVE ,Fatal/Injury Collision,1,2011,49.2059264,-122.8743732
13300 88TH AVE ,Fatal/Injury Collision,1,2011,49.1861557,-122.895693
14300 90TH AVE ,Fatal/Injury Collision,1,2011,49.0456132,-122.7935608
8200 166TH ST ,Fatal/Injury Collision,1,2011,49.1521187,-122.806895
8200 166TH ST ,Fatal/Injury Collision,1,2011,49.1798033,-122.8370357
10900 128A ST ,Fatal/Injury Collision,1,2011,49.1300864,-122.8566378
19300 22ND AVE ,Fatal/Injury Collision,1,2011,49.1063325,-122.7499877
7300 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.2020731,-122.879122
10800 132ND ST ,Fatal/Injury Collision,1,2011,49.1753672,-122.6905448
8400 160TH ST ,Fatal/Injury Collision,1,2011,49.1753672,-122.6905448
7400 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.0330728,-122.801101
17900 68TH AVE ,Fatal/Injury Collision,1,2011,49.11481209999999,-122.8438061
7500 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.186183,-122.845107
7300 122ND ST ,Fatal/Injury Collision,1,2011,49.1861301,-122.8057239
17000  64TH AVE,Fatal/Injury Collision,1,2011,49.15599659999999,-122.8902874
10000 121ST ST ,Fatal/Injury Collision,1,2011,49.1987268,-122.8151602
9800  152ND ST,Fatal/Injury Collision,1,2011,49.067791,-122.820187
9800  152ND ST,Fatal/Injury Collision,1,2011,49.1503908,-122.8376315
18700 56A AVE ,Fatal/Injury Collision,1,2011,49.198904,-122.8487778
10400 132ND ST ,Fatal/Injury Collision,1,2011,49.186603,-122.853708
7300 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1354503,-122.8385873
17700 56TH AVE ,Fatal/Injury Collision,1,2011,49.1251004,-122.8706711
8700 158TH ST ,Fatal/Injury Collision,1,2011,49.1772198,-122.86812
8600 144TH ST ,Fatal/Injury Collision,1,2011,49.1701369,-122.8105975
12300 58A AVE ,Fatal/Injury Collision,1,2011,49.198746,-122.8199932
9000 158TH ST ,Fatal/Injury Collision,1,2011,49.11073469999999,-122.8071597
12700 62ND AVE ,Fatal/Injury Collision,1,2011,49.13330010000001,-122.7233499
8000 120TH ST ,Fatal/Injury Collision,1,2011,49.1637615,-122.7957507
100TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.191454,-122.8007962
140TH ST / 84TH AVE,Fatal/Injury Collision,1,2011,49.0948972,-122.862825
192ND ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1768169,-122.8066775
152ND ST / 32ND AVE,Fatal/Injury Collision,1,2011,49.1387438,-122.8456021
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.110052,-122.8648868
64TH AVE / 122ND ST,Fatal/Injury Collision,1,2011,49.1880229,-122.8676882
176TH ST / 48TH AVE,Fatal/Injury Collision,1,2011,49.1045154,-122.8011739
