HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,LATITUDE,LONGTITUDE
17400 32ND AVE,Fatal/Injury Collision,1,2011,49.0601273,-122.7408909
13200  MELVILLE PL,Fatal/Injury Collision,1,2011,49.1750822,-122.8554219
7600 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.14057529999999,-122.8458188
7000 128TH ST,Fatal/Injury Collision,1,2011,49.13030699999999,-122.8677547
16200 BEACH RD,Fatal/Injury Collision,1,2011,49.0125381,-122.7750447
13600 100TH AVE,Fatal/Injury Collision,1,2011,49.1843026,-122.8454326
13500 BENTLEY RD,Fatal/Injury Collision,1,2011,49.20023510000001,-122.8471633
1600  140TH ST,Fatal/Injury Collision,1,2011,49.0312505,-122.8343442
7900 128TH ST,Fatal/Injury Collision,1,2011,49.14690390000001,-122.8679896
13300 72ND AVE,Fatal/Injury Collision,1,2011,49.1336419,-122.8534627
17300  56TH AVE,Fatal/Injury Collision,1,2011,49.1040262,-122.7437182
15800 26TH AVE,Fatal/Injury Collision,1,2011,49.0491846,-122.7836624
17800 104TH AVE,Fatal/Injury Collision,1,2011,49.1914451,-122.7313299
100 176TH ST,Fatal/Injury Collision,1,2011,49.0040223,-122.7354194
12700 112B AVE,Fatal/Injury Collision,1,2011,49.2076894,-122.8701321
14600 104TH AVE,Fatal/Injury Collision,1,2011,49.1914808,-122.8179335
13400 108TH AVE,Fatal/Injury Collision,1,2011,49.1989171,-122.8511334
13300 105TH AVE,Fatal/Injury Collision,1,2011,49.1932388,-122.853627
10300 152ND ST,Fatal/Injury Collision,1,2011,49.1895882,-122.8008031
12400 88TH AVE,Fatal/Injury Collision,1,2011,49.1631312,-122.8783788
13300 88TH AVE,Fatal/Injury Collision,1,2011,49.1626019,-122.8541472
14300 90TH AVE,Fatal/Injury Collision,1,2011,49.1664968,-122.8265746
8200 166TH ST,Fatal/Injury Collision,1,2011,49.1511918,-122.7617572
8200 166TH ST,Fatal/Injury Collision,1,2011,49.1511918,-122.7617572
10900 128A ST,Fatal/Injury Collision,1,2011,49.2009924,-122.8660906
19300 22ND AVE,Fatal/Injury Collision,1,2011,49.0420088,-122.6894124
7300 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.135039,-122.8455755
10800 132ND ST,Fatal/Injury Collision,1,2011,49.1989606,-122.8564618
8400 160TH ST,Fatal/Injury Collision,1,2011,49.155475,-122.7788222
7400 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1372181,-122.8455908
17900 68TH AVE,Fatal/Injury Collision,1,2011,49.1259836,-122.72677
7500 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1387438,-122.8456021
7300 122ND ST,Fatal/Injury Collision,1,2011,49.1356234,-122.8845971
17000  64TH AVE,Fatal/Injury Collision,1,2011,49.118815,-122.7518262
10000 121ST ST,Fatal/Injury Collision,1,2011,49.1321204,-122.887563
9800  152ND ST,Fatal/Injury Collision,1,2011,49.1805212,-122.8008961
9800  152ND ST,Fatal/Injury Collision,1,2011,49.1805212,-122.8008961
18700 56A AVE,Fatal/Injury Collision,1,2011,49.1050431,-122.7050863
10400 132ND ST,Fatal/Injury Collision,1,2011,49.1916289,-122.8564215
7300 KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.135039,-122.8455755
8700 158TH ST,Fatal/Injury Collision,1,2011,49.1608174,-122.7851507
8600 144TH ST,Fatal/Injury Collision,1,2011,49.1591856,-122.8233826
17700 56TH AVE,Fatal/Injury Collision,1,2011,49.1035167,-122.7324787
12300 58A AVE,Fatal/Injury Collision,1,2011,49.1088354,-122.8823177
9000 158TH ST,Fatal/Injury Collision,1,2011,49.1661054,-122.7845092
12700 62ND AVE,Fatal/Injury Collision,1,2011,49.1154824,-122.8707654
100TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1843149,-122.8454323
140TH ST / 84TH AVE,Fatal/Injury Collision,1,2011,49.15552049999999,-122.8345953
8000 120TH ST,Fatal/Injury Collision,1,2011,49.1485747,-122.8902771
192ND ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1770399,-122.6904511
152ND ST / 32ND AVE,Fatal/Injury Collision,1,2011,49.0615205,-122.8011519
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1878257,-122.8455894
64TH AVE / 122ND ST,Fatal/Injury Collision,1,2011,49.11921710000001,-122.8845688
176TH ST / 48TH AVE,Fatal/Injury Collision,1,2011,49.08955539999999,-122.7351225
168TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1770965,-122.7566399
156TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1189865,-122.7898934
102A AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1887353,-122.8009966
168TH ST / 78TH AVE,Fatal/Injury Collision,1,2011,49.1445212,-122.7565022
96TH AVE / GOLDEN EARS WAY,Fatal/Injury Collision,1,2011,49.1764828,-122.7345961
176TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.1379885,-122.734677
176TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1188307,-122.7351079
88TH AVE / MALL ACCESS,Fatal/Injury Collision,1,2011,49.1374736,-122.8877071
146A ST / 89TH AVE,Fatal/Injury Collision,1,2011,49.16466270000001,-122.8165809
132ND ST / 58TH AVE,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
KING GEORGE BLVD / COLEBROOK RD,Fatal/Injury Collision,1,2011,49.097278,-122.8176528
SCOTT RD / 100TH AVE,Fatal/Injury Collision,1,2011,49.18439009999999,-122.8901225
130TH ST / 106A AVE,Fatal/Injury Collision,1,2011,49.1961813,-122.862382
108TH AVE / 160TH ST,Fatal/Injury Collision,1,2011,49.1988596,-122.7786006
94TH AVE / 164TH ST,Fatal/Injury Collision,1,2011,49.173222,-122.767713
126TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1192137,-122.8733633
96TH AVE / 140TH ST,Fatal/Injury Collision,1,2011,49.1769204,-122.8346279
72ND AVE / 120TH ST,Fatal/Injury Collision,1,2011,49.1341438,-122.8902726
82ND AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1503182,-122.8679969
56TH AVE / 188TH ST,Fatal/Injury Collision,1,2011,49.1041526,-122.7017013
104TH AVE / 150TH ST,Fatal/Injury Collision,1,2011,49.191439,-122.8064123
164TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.0248285,-122.7678502
40TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.0746443,-122.8012227
168TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.1479339,-122.7565725
184TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.1286576,-122.7126406
104TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1917191,-122.8564401
160TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1768481,-122.7789836
176TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.1379885,-122.734677
86TH AVE / 123RD ST,Fatal/Injury Collision,1,2011,49.1595653,-122.8822897
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1335876,-122.8455784
152ND ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.1661587,-122.8015676
176TH ST / 12TH AVE,Fatal/Injury Collision,1,2011,49.0239334,-122.7352487
122ND ST / 72ND AVE,Fatal/Injury Collision,1,2011,49.13398309999999,-122.8848226
102A AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1887353,-122.8009966
GATEWAY DR / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.2016135,-122.8495164
152ND ST / 40TH AVE,Fatal/Injury Collision,1,2011,49.0746443,-122.8012227
103A AVE / SCOTT RD,Fatal/Injury Collision,1,2011,49.1906134,-122.8904124
177B ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.1041324,-122.7303
98TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1804704,-122.845495
36TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.0673537,-122.8011338
64TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1191172,-122.8009159
104TH AVE / 160TH ST,Fatal/Injury Collision,1,2011,49.1908501,-122.7783601
120TH ST / 72ND AVE,Fatal/Injury Collision,1,2011,49.1341438,-122.8902726
130TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1189902,-122.8622886
152A ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1767946,-122.7998067
126TH ST / 68TH AVE,Fatal/Injury Collision,1,2011,49.126618,-122.8734017
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.2064008,-122.8674434
24TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.045672,-122.8011485
