HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR
162ND ST / FRASER HWY,Fatal/Injury Collision,7,2012
HALL RD / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
98TH AVE / 120TH ST,Fatal/Injury Collision,7,2012
75TH AVE / 124TH ST,Fatal/Injury Collision,7,2012
152ND ST / FRASER HWY,Fatal/Injury Collision,7,2012
152ND ST / 64TH AVE,Fatal/Injury Collision,7,2012
ELEVATOR RD / RIVER RD,Fatal/Injury Collision,7,2012
64TH AVE / 176TH ST,Fatal/Injury Collision,7,2012
56TH AVE / 192ND ST,Fatal/Injury Collision,7,2012
152ND ST / 100TH AVE,Fatal/Injury Collision,7,2012
82B AVE / 132A ST,Fatal/Injury Collision,7,2012
184TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
55TH AVE / PRODUCTION BLVD,Fatal/Injury Collision,7,2012
128TH ST / PRINCE CHARLES BLVD,Fatal/Injury Collision,7,2012
166TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
SCOTT RD / 103A AVE,Fatal/Injury Collision,7,2012
104TH AVE / 149TH ST,Fatal/Injury Collision,7,2012
88TH AVE / 132ND ST,Fatal/Injury Collision,7,2012
150TH ST / 72ND AVE,Fatal/Injury Collision,7,2012
CROYDON DR / 160TH ST,Fatal/Injury Collision,7,2012
75TH AVE / 121A ST,Fatal/Injury Collision,7,2012
168TH ST / 88TH AVE,Fatal/Injury Collision,7,2012
152ND ST / 96TH AVE,Fatal/Injury Collision,7,2012
64TH AVE / 176TH ST,Fatal/Injury Collision,7,2012
108A AVE / 148TH ST,Fatal/Injury Collision,7,2012
148TH ST / 107TH AVE,Fatal/Injury Collision,7,2012
128TH ST / 82ND AVE,Fatal/Injury Collision,7,2012
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 68TH AVE,Fatal/Injury Collision,7,2012
76TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
152ND ST / 24TH AVE,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 98TH AVE,Fatal/Injury Collision,7,2012
153RD ST / 101ST AVE,Fatal/Injury Collision,7,2012
132ND ST / 105TH AVE,Fatal/Injury Collision,7,2012
64TH AVE / 134A ST,Fatal/Injury Collision,7,2012
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
132ND ST / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
152ND ST / 108TH AVE,Fatal/Injury Collision,7,2012
106TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
72ND AVE / 152ND ST,Fatal/Injury Collision,7,2012
160TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
FRASER HWY / 166TH ST,Fatal/Injury Collision,7,2012
100TH AVE / 150TH ST,Fatal/Injury Collision,7,2012
80TH AVE / 132ND ST,Fatal/Injury Collision,7,2012
179TH ST / DALY RD,Fatal/Injury Collision,7,2012
111A AVE / WALLACE DR,Fatal/Injury Collision,7,2012
140TH ST / 88TH AVE,Fatal/Injury Collision,7,2012
156TH ST / 96TH AVE,Fatal/Injury Collision,7,2012
76TH AVE / 146TH ST,Fatal/Injury Collision,7,2012
148TH ST / 64TH AVE,Fatal/Injury Collision,7,2012
192ND ST / 32ND AVE,Fatal/Injury Collision,7,2012
162ND ST / FRASER HWY,Fatal/Injury Collision,7,2012
176TH ST / 58A AVE,Fatal/Injury Collision,7,2012
124TH ST / 80TH AVE,Fatal/Injury Collision,7,2012
134TH ST / 77TH AVE,Fatal/Injury Collision,7,2012
167A ST / 63RD AVE,Fatal/Injury Collision,7,2012
84TH AVE / 120TH ST,Fatal/Injury Collision,7,2012
143RD ST / 104TH AVE,Fatal/Injury Collision,7,2012
152ND ST / FRASER HWY,Fatal/Injury Collision,7,2012
152ND ST / 108TH AVE,Fatal/Injury Collision,7,2012
160TH ST / 24TH AVE,Fatal/Injury Collision,7,2012
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
140TH ST / 104TH AVE,Fatal/Injury Collision,7,2012
72ND AVE / 120TH ST,Fatal/Injury Collision,7,2012
68TH AVE / 134TH ST,Fatal/Injury Collision,7,2012
192ND ST / 48TH AVE,Fatal/Injury Collision,7,2012
103A AVE / SCOTT RD,Fatal/Injury Collision,7,2012
96A AVE / 128TH ST,Fatal/Injury Collision,7,2012
107A AVE / 136A ST,Fatal/Injury Collision,7,2012
96TH AVE / FRASER HWY,Fatal/Injury Collision,7,2012
196TH ST / 63A AVE,Fatal/Injury Collision,7,2012
187TH ST / 64TH AVE,Fatal/Injury Collision,7,2012
70TH AVE / 120TH ST,Fatal/Injury Collision,7,2012
84TH AVE / 120TH ST,Fatal/Injury Collision,7,2012
142A ST / 62A AVE,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 56TH AVE,Fatal/Injury Collision,7,2012
160TH ST / 93A AVE,Fatal/Injury Collision,7,2012
80TH AVE / 130TH ST,Fatal/Injury Collision,7,2012
148TH ST / 104TH AVE,Fatal/Injury Collision,7,2012
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
108TH AVE / 140TH ST,Fatal/Injury Collision,7,2012
62ND AVE / 134TH ST,Fatal/Injury Collision,7,2012
62A AVE / 152ND ST,Fatal/Injury Collision,7,2012
152ND ST / 102A AVE,Fatal/Injury Collision,7,2012
80TH AVE / 122ND ST,Fatal/Injury Collision,7,2012
176TH ST / 80TH AVE,Fatal/Injury Collision,7,2012
64TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
120TH ST / 86TH AVE,Fatal/Injury Collision,7,2012
164TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
176TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
64TH AVE / 184TH ST,Fatal/Injury Collision,7,2012
100TH AVE / 140TH ST,Fatal/Injury Collision,7,2012
188TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
105A AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
192ND ST / 96TH AVE,Fatal/Injury Collision,7,2012
77TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
108TH AVE / 164TH ST,Fatal/Injury Collision,7,2012
88TH AVE / 128TH ST,Fatal/Injury Collision,7,2012
140TH ST / 64TH AVE,Fatal/Injury Collision,7,2012
FRASER HWY / 88TH AVE,Fatal/Injury Collision,7,2012
76TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
177B ST / 56TH AVE,Fatal/Injury Collision,7,2012
148TH ST / 58TH AVE,Fatal/Injury Collision,7,2012
152ND ST / 92ND AVE,Fatal/Injury Collision,7,2012
120TH ST / 72ND AVE,Fatal/Injury Collision,7,2012
130TH ST / 72ND AVE,Fatal/Injury Collision,7,2012
MALL ACCESS / OLD YALE RD,Fatal/Injury Collision,7,2012
168TH ST / BARNSTON DR W,Fatal/Injury Collision,7,2012
188TH ST / 56TH AVE,Fatal/Injury Collision,7,2012
177B ST / 60TH AVE,Fatal/Injury Collision,7,2012
140TH ST / 88TH AVE,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 84TH AVE,Fatal/Injury Collision,7,2012
FRASER HWY / 168TH ST,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 96TH AVE,Fatal/Injury Collision,7,2012
88TH AVE / 133A ST,Fatal/Injury Collision,7,2012
86TH AVE / 152ND ST,Fatal/Injury Collision,7,2012
132ND ST / 97TH AVE,Fatal/Injury Collision,7,2012
FRASER HWY / 96TH AVE,Fatal/Injury Collision,7,2012
104TH AVE / 152ND ST,Fatal/Injury Collision,7,2012
128TH ST / 111TH AVE,Fatal/Injury Collision,7,2012
72ND AVE / 128TH ST,Fatal/Injury Collision,7,2012
64TH AVE / 152ND ST,Fatal/Injury Collision,7,2012
88TH AVE / 176TH ST,Fatal/Injury Collision,7,2012
177B ST / 57TH AVE,Fatal/Injury Collision,7,2012
184TH ST / 56TH AVE,Fatal/Injury Collision,7,2012
63RD AVE / 128TH ST,Fatal/Injury Collision,7,2012
24TH AVE / 148TH ST,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 100TH AVE,Fatal/Injury Collision,7,2012
122A ST / 80A AVE,Fatal/Injury Collision,7,2012
104TH AVE / 154TH ST,Fatal/Injury Collision,7,2012
92ND AVE / 127TH ST,Fatal/Injury Collision,7,2012
92ND AVE / 127TH ST,Fatal/Injury Collision,7,2012
140TH ST / 90TH AVE,Fatal/Injury Collision,7,2012
152ND ST / 64TH AVE,Fatal/Injury Collision,7,2012
80TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
132ND ST / 88TH AVE,Fatal/Injury Collision,7,2012
88TH AVE / 140TH ST,Fatal/Injury Collision,7,2012
152ND ST / 96TH AVE,Fatal/Injury Collision,7,2012
148TH ST / 94TH AVE,Fatal/Injury Collision,7,2012
124TH ST / 95A AVE,Fatal/Injury Collision,7,2012
CRESCENT RD / BEECHER ST,Fatal/Injury Collision,7,2012
103RD AVE / UNIVERSITY DR,Fatal/Injury Collision,7,2012
160TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
156TH ST / 88TH AVE,Fatal/Injury Collision,7,2012
88TH AVE / 133A ST,Fatal/Injury Collision,7,2012
120TH ST / 97TH AVE,Fatal/Injury Collision,7,2012
92ND AVE / 128TH ST,Fatal/Injury Collision,7,2012
28TH AVE / 160TH ST,Fatal/Injury Collision,7,2012
120TH ST / 84TH AVE,Fatal/Injury Collision,7,2012
98B AVE / 160TH ST,Fatal/Injury Collision,7,2012
124TH ST / 68TH AVE,Fatal/Injury Collision,7,2012
88TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
MALL ACCESS / UNIVERSITY DR,Fatal/Injury Collision,7,2012
24TH AVE / 140TH ST,Fatal/Injury Collision,7,2012
140TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
108TH AVE / 139A ST,Fatal/Injury Collision,7,2012
175TH ST / 56TH AVE,Fatal/Injury Collision,7,2012
160TH ST / 96TH AVE,Fatal/Injury Collision,7,2012
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
128TH ST / 58TH AVE,Fatal/Injury Collision,7,2012
122ND ST / 72ND AVE,Fatal/Injury Collision,7,2012
125TH ST / 68TH AVE,Fatal/Injury Collision,7,2012
108TH AVE / 139TH ST,Fatal/Injury Collision,7,2012
160TH ST / FRASER HWY,Fatal/Injury Collision,7,2012
102A AVE / 154TH ST,Fatal/Injury Collision,7,2012
86TH AVE / 148TH ST,Fatal/Injury Collision,7,2012
FRASER HWY / 148TH ST,Fatal/Injury Collision,7,2012
88TH AVE / 120TH ST,Fatal/Injury Collision,7,2012
142ND ST / 103A AVE,Fatal/Injury Collision,7,2012
144TH ST / 74A AVE,Fatal/Injury Collision,7,2012
12TH AVE / 176TH ST,Fatal/Injury Collision,7,2012
44TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
108TH AVE / CITY PKWY,Fatal/Injury Collision,7,2012
84TH AVE / 128TH ST,Fatal/Injury Collision,7,2012
152ND ST / 60TH AVE,Fatal/Injury Collision,7,2012
128TH ST / 84TH AVE,Fatal/Injury Collision,7,2012
156TH ST / 104TH AVE,Fatal/Injury Collision,7,2012
140TH ST / 72ND AVE,Fatal/Injury Collision,7,2012
72ND AVE / 122ND ST,Fatal/Injury Collision,7,2012
132ND ST / OLD YALE RD,Fatal/Injury Collision,7,2012
GOLDEN EARS WAY / 176TH ST,Fatal/Injury Collision,7,2012
105A AVE / UNIVERSITY DR,Fatal/Injury Collision,7,2012
138TH ST / 92ND AVE,Fatal/Injury Collision,7,2012
78TH AVE / 132ND ST,Fatal/Injury Collision,7,2012
88TH AVE / 148TH ST,Fatal/Injury Collision,7,2012
88TH AVE / 124TH ST,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 84TH AVE,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 84TH AVE,Fatal/Injury Collision,7,2012
93RD AVE / WALLACE CRES,Fatal/Injury Collision,7,2012
159TH ST / 83RD AVE,Fatal/Injury Collision,7,2012
146TH ST / 64TH AVE,Fatal/Injury Collision,7,2012
120TH ST / 94TH AVE,Fatal/Injury Collision,7,2012
192ND ST / 65TH AVE,Fatal/Injury Collision,7,2012
160TH ST / 20TH AVE,Fatal/Injury Collision,7,2012
144TH ST / 68TH AVE,Fatal/Injury Collision,7,2012
144TH ST / 68TH AVE,Fatal/Injury Collision,7,2012
88TH AVE / FRASER HWY,Fatal/Injury Collision,7,2012
176TH ST / 101ST AVE,Fatal/Injury Collision,7,2012
176TH ST / 80TH AVE,Fatal/Injury Collision,7,2012
160TH ST / 104TH AVE,Fatal/Injury Collision,7,2012
88TH AVE / MALL ACCESS,Fatal/Injury Collision,7,2012
76TH AVE / 144TH ST,Fatal/Injury Collision,7,2012
108TH AVE / 132ND ST,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 14TH AVE,Fatal/Injury Collision,7,2012
88TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
72ND AVE / 138TH ST,Fatal/Injury Collision,7,2012
88TH AVE / NORDEL WAY,Fatal/Injury Collision,7,2012
192ND ST / 22ND AVE,Fatal/Injury Collision,7,2012
100TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,7,2012
KING GEORGE BLVD / 72ND AVE,Fatal/Injury Collision,7,2012
140TH ST / 110TH AVE,Fatal/Injury Collision,7,2012
72ND AVE / 128TH ST,Fatal/Injury Collision,7,2012
96TH AVE / PRINCE CHARLES BLVD,Fatal/Injury Collision,7,2012
13100 104TH AVE ,Fatal/Injury Collision,8,2012
10000 144TH ST ,Fatal/Injury Collision,8,2012
9400 128TH ST ,Fatal/Injury Collision,8,2012
7100 LEVY PL ,Fatal/Injury Collision,8,2012
12400 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
13800 103RD AVE ,Fatal/Injury Collision,8,2012
9600 131A ST ,Fatal/Injury Collision,8,2012
14400 78TH AVE ,Fatal/Injury Collision,8,2012
12200 98TH AVE ,Fatal/Injury Collision,8,2012
12800 104TH AVE ,Fatal/Injury Collision,8,2012
7100 134TH ST ,Fatal/Injury Collision,8,2012
13900 60TH AVE ,Fatal/Injury Collision,8,2012
5900 136TH ST ,Fatal/Injury Collision,8,2012
1800 152ND ST ,Fatal/Injury Collision,8,2012
1800 152ND ST ,Fatal/Injury Collision,8,2012
3100 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
10900 140TH ST ,Fatal/Injury Collision,8,2012
10900 132ND ST ,Fatal/Injury Collision,8,2012
1700 MARTIN DR ,Fatal/Injury Collision,8,2012
10400 138TH ST ,Fatal/Injury Collision,8,2012
10400 152ND ST ,Fatal/Injury Collision,8,2012
14700 106TH AVE ,Fatal/Injury Collision,8,2012
15200 32ND AVE ,Fatal/Injury Collision,8,2012
6900 151A ST ,Fatal/Injury Collision,8,2012
5900 188TH ST ,Fatal/Injury Collision,8,2012
10300 174TH ST ,Fatal/Injury Collision,8,2012
19500 73RD AVE ,Fatal/Injury Collision,8,2012
17700 65A AVE ,Fatal/Injury Collision,8,2012
8200 129TH ST ,Fatal/Injury Collision,8,2012
18800 8TH AVE ,Fatal/Injury Collision,8,2012
5700 KILMORE CRES E,Fatal/Injury Collision,8,2012
7100 HALL RD ,Fatal/Injury Collision,8,2012
5800 139TH ST ,Fatal/Injury Collision,8,2012
13500 73A AVE ,Fatal/Injury Collision,8,2012
10700 135A ST ,Fatal/Injury Collision,8,2012
9400 162A ST ,Fatal/Injury Collision,8,2012
7500 129A ST ,Fatal/Injury Collision,8,2012
13900 FRASER HWY ,Fatal/Injury Collision,8,2012
17700 1ST AVE ,Fatal/Injury Collision,8,2012
8800 120TH ST ,Fatal/Injury Collision,8,2012
10300 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
8100 120TH ST ,Fatal/Injury Collision,8,2012
13700 72ND AVE ,Fatal/Injury Collision,8,2012
10700 CITY PKWY ,Fatal/Injury Collision,8,2012
9500 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
10000  120TH ST,Fatal/Injury Collision,8,2012
14700 60A AVE ,Fatal/Injury Collision,8,2012
15500 FRASER HWY ,Fatal/Injury Collision,8,2012
7500 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
7100  120TH ST,Fatal/Injury Collision,8,2012
13000 103A AVE ,Fatal/Injury Collision,8,2012
16300 104TH AVE ,Fatal/Injury Collision,8,2012
7600 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
15300 64TH AVE ,Fatal/Injury Collision,8,2012
14500 32ND AVE ,Fatal/Injury Collision,8,2012
7900 128TH ST ,Fatal/Injury Collision,8,2012
7100 189TH ST ,Fatal/Injury Collision,8,2012
10200 159A ST ,Fatal/Injury Collision,8,2012
6500 123A ST ,Fatal/Injury Collision,8,2012
13700 72ND AVE ,Fatal/Injury Collision,8,2012
17100 TRANS CANADA HWY,Fatal/Injury Collision,8,2012
10300 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
15200 TRANS CANADA HWY,Fatal/Injury Collision,8,2012
12400 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
15500 FRASER HWY ,Fatal/Injury Collision,8,2012
7800 120TH ST ,Fatal/Injury Collision,8,2012
18700 FRASER HWY ,Fatal/Injury Collision,8,2012
14800  108TH AVE,Fatal/Injury Collision,8,2012
10200 WHALLEY BLVD ,Fatal/Injury Collision,8,2012
7300 137TH ST ,Fatal/Injury Collision,8,2012
8200 188TH ST ,Fatal/Injury Collision,8,2012
15900 96TH AVE ,Fatal/Injury Collision,8,2012
11000 124TH ST ,Fatal/Injury Collision,8,2012
12300  88TH AVE,Fatal/Injury Collision,8,2012
13400 20TH AVE ,Fatal/Injury Collision,8,2012
6400 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
6500 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
13800 102ND AVE ,Fatal/Injury Collision,8,2012
7900  128TH ST,Fatal/Injury Collision,8,2012
7400 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
16100 95A AVE ,Fatal/Injury Collision,8,2012
12400 82ND AVE ,Fatal/Injury Collision,8,2012
17400 32ND AVE ,Fatal/Injury Collision,8,2012
9800 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
19500 72ND AVE ,Fatal/Injury Collision,8,2012
7300 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
12600 82ND AVE ,Fatal/Injury Collision,8,2012
6200 134TH ST ,Fatal/Injury Collision,8,2012
12700 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
12300 88TH AVE ,Fatal/Injury Collision,8,2012
13100 76TH AVE ,Fatal/Injury Collision,8,2012
13100 76TH AVE ,Fatal/Injury Collision,8,2012
11500 132A ST ,Fatal/Injury Collision,8,2012
7500 120TH ST ,Fatal/Injury Collision,8,2012
10300 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
19100 60TH AVE ,Fatal/Injury Collision,8,2012
14300 57TH AVE ,Fatal/Injury Collision,8,2012
3500 144TH ST ,Fatal/Injury Collision,8,2012
6000 170B ST ,Fatal/Injury Collision,8,2012
13400 102ND AVE ,Fatal/Injury Collision,8,2012
8100 146TH ST ,Fatal/Injury Collision,8,2012
100 176TH ST ,Fatal/Injury Collision,8,2012
10700 UNIVERSITY DR ,Fatal/Injury Collision,8,2012
100 HWY 99 ,Fatal/Injury Collision,8,2012
12100 72ND AVE ,Fatal/Injury Collision,8,2012
13100 13TH AVE ,Fatal/Injury Collision,8,2012
1800 SOUTHMERE CRES E,Fatal/Injury Collision,8,2012
13600 60A AVE ,Fatal/Injury Collision,8,2012
15300 FRASER HWY ,Fatal/Injury Collision,8,2012
16000  56TH AVE,Fatal/Injury Collision,8,2012
6900 130TH ST ,Fatal/Injury Collision,8,2012
17800 56TH AVE ,Fatal/Injury Collision,8,2012
8000 133A ST ,Fatal/Injury Collision,8,2012
10800 132ND ST ,Fatal/Injury Collision,8,2012
13400 102ND AVE ,Fatal/Injury Collision,8,2012
12700 90TH AVE ,Fatal/Injury Collision,8,2012
13800  102ND AVE,Fatal/Injury Collision,8,2012
12900 112B AVE ,Fatal/Injury Collision,8,2012
10700 KING GEORGE BLVD,Fatal/Injury Collision,8,2012
9500 152ND ST ,Fatal/Injury Collision,8,2012
12300 97TH AVE ,Fatal/Injury Collision,8,2012
9900 156TH ST ,Fatal/Injury Collision,8,2012
19500 66TH AVE ,Fatal/Injury Collision,8,2012
13800 102ND AVE ,Fatal/Injury Collision,8,2012
15100 101ST AVE ,Fatal/Injury Collision,8,2012
14400 108TH AVE ,Fatal/Injury Collision,8,2012
13500 64A AVE ,Fatal/Injury Collision,8,2012
10200 CITY PKWY ,Fatal/Injury Collision,8,2012
5800 131A ST ,Fatal/Injury Collision,8,2012
14600  88TH AVE,Fatal/Injury Collision,8,2012
7800 141B ST ,Fatal/Injury Collision,8,2012
11600 97TH AVE ,Fatal/Injury Collision,8,2012
7600 127TH ST ,Fatal/Injury Collision,8,2012
108TH AVE / CITY PKWY,Fatal/Injury Collision,8,2012
56TH AVE / 176TH ST,Fatal/Injury Collision,8,2012
70TH AVE / 190TH ST,Fatal/Injury Collision,8,2012
184TH ST / 32ND AVE,Fatal/Injury Collision,8,2012
GOLDEN EARS WAY / HWY 1,Fatal/Injury Collision,8,2012
100TH AVE / WHALLEY BLVD,Fatal/Injury Collision,8,2012
168TH ST / 56TH AVE,Fatal/Injury Collision,8,2012
152ND ST / COLEBROOK RD,Fatal/Injury Collision,8,2012
73A AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
176TH ST / 58A AVE,Fatal/Injury Collision,8,2012
130TH ST / 88TH AVE,Fatal/Injury Collision,8,2012
74TH AVE / 148TH ST,Fatal/Injury Collision,8,2012
16TH AVE / 168TH ST,Fatal/Injury Collision,8,2012
40TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
108TH AVE / 144TH ST,Fatal/Injury Collision,8,2012
124TH ST / 82ND AVE,Fatal/Injury Collision,8,2012
KING GEORGE BLVD / 94A AVE,Fatal/Injury Collision,8,2012
128TH ST / 68TH AVE,Fatal/Injury Collision,8,2012
32ND AVE / 184TH ST,Fatal/Injury Collision,8,2012
128TH ST / 68TH AVE,Fatal/Injury Collision,8,2012
99A AVE / 132ND ST,Fatal/Injury Collision,8,2012
140TH ST / 88TH AVE,Fatal/Injury Collision,8,2012
184TH ST / 32ND AVE,Fatal/Injury Collision,8,2012
KING GEORGE BLVD ONRP / HWY 99,Fatal/Injury Collision,8,2012
RIVER RD / ELEVATOR RD,Fatal/Injury Collision,8,2012
72ND AVE / 122ND ST,Fatal/Injury Collision,8,2012
60TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
152ND ST / 56TH AVE,Fatal/Injury Collision,8,2012
KING GEORGE BLVD / 56TH AVE,Fatal/Injury Collision,8,2012
138TH ST / 91ST AVE,Fatal/Injury Collision,8,2012
76TH AVE / 138TH ST,Fatal/Injury Collision,8,2012
SCOTT RD / SCOTT RD ONRP,Fatal/Injury Collision,8,2012
64TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
156TH ST / FRASER HWY,Fatal/Injury Collision,8,2012
FRASER HWY / 160TH ST,Fatal/Injury Collision,8,2012
140TH ST / 90TH AVE,Fatal/Injury Collision,8,2012
144TH ST / 68TH AVE,Fatal/Injury Collision,8,2012
ELEVATOR RD / RIVER RD,Fatal/Injury Collision,8,2012
128TH ST / 96TH AVE,Fatal/Injury Collision,8,2012
192ND ST / 94TH AVE,Fatal/Injury Collision,8,2012
144TH ST / 64TH AVE,Fatal/Injury Collision,8,2012
144TH ST / 64TH AVE,Fatal/Injury Collision,8,2012
176TH ST / 56TH AVE,Fatal/Injury Collision,8,2012
75A AVE / 125TH ST,Fatal/Injury Collision,8,2012
KING GEORGE BLVD / 58TH AVE,Fatal/Injury Collision,8,2012
128TH ST / 96TH AVE,Fatal/Injury Collision,8,2012
80TH AVE / 126A ST,Fatal/Injury Collision,8,2012
120TH ST / 84TH AVE,Fatal/Injury Collision,8,2012
160TH ST / 16TH AVE,Fatal/Injury Collision,8,2012
160TH ST / 16TH AVE,Fatal/Injury Collision,8,2012
148TH ST / 58TH AVE,Fatal/Injury Collision,8,2012
142ND ST / 60TH AVE,Fatal/Injury Collision,8,2012
128TH ST / 72ND AVE,Fatal/Injury Collision,8,2012
104TH AVE / 148TH ST,Fatal/Injury Collision,8,2012
152ND ST / 68TH AVE,Fatal/Injury Collision,8,2012
152A ST / 84TH AVE,Fatal/Injury Collision,8,2012
98TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
104TH AVE / WHALLEY BLVD,Fatal/Injury Collision,8,2012
168TH ST / 56TH AVE,Fatal/Injury Collision,8,2012
23A AVE / 135A ST,Fatal/Injury Collision,8,2012
58TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
128TH ST / 58TH AVE,Fatal/Injury Collision,8,2012
151ST ST / 88TH AVE,Fatal/Injury Collision,8,2012
105A AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
OLD YALE RD / SCOTT RD,Fatal/Injury Collision,8,2012
140TH ST / 104TH AVE,Fatal/Injury Collision,8,2012
160TH ST / 24TH AVE,Fatal/Injury Collision,8,2012
104TH AVE / 154TH ST,Fatal/Injury Collision,8,2012
76TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
134TH ST / 76TH AVE,Fatal/Injury Collision,8,2012
102A AVE / 122ND ST,Fatal/Injury Collision,8,2012
140TH ST / 104TH AVE,Fatal/Injury Collision,8,2012
140TH ST / 104TH AVE,Fatal/Injury Collision,8,2012
56TH AVE / 192ND ST,Fatal/Injury Collision,8,2012
FRASER HWY / 188TH ST,Fatal/Injury Collision,8,2012
148TH ST / 108TH AVE,Fatal/Injury Collision,8,2012
PANORAMA DR / 152ND ST,Fatal/Injury Collision,8,2012
148TH ST / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
176TH ST / 64TH AVE,Fatal/Injury Collision,8,2012
138TH ST / 74TH AVE,Fatal/Injury Collision,8,2012
152ND ST / FRASER HWY,Fatal/Injury Collision,8,2012
FRASER HWY / 88TH AVE,Fatal/Injury Collision,8,2012
128TH ST / 82ND AVE,Fatal/Injury Collision,8,2012
176TH ST OFRP / TRANS CANADA HWY,Fatal/Injury Collision,8,2012
40TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
KING GEORGE BLVD / 58TH AVE,Fatal/Injury Collision,8,2012
152ND ST / FRASER HWY,Fatal/Injury Collision,8,2012
20TH AVE / 152ND ST,Fatal/Injury Collision,8,2012
20TH AVE / CROYDON DR,Fatal/Injury Collision,8,2012
120TH ST / 99TH AVE,Fatal/Injury Collision,8,2012
140TH ST / 89TH AVE,Fatal/Injury Collision,8,2012
84TH AVE / 128TH ST,Fatal/Injury Collision,8,2012
96TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
76TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
104TH AVE / 156TH ST,Fatal/Injury Collision,8,2012
192ND ST / GOLDEN EARS WAY,Fatal/Injury Collision,8,2012
100TH AVE / 154TH ST,Fatal/Injury Collision,8,2012
106TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
124TH ST / 80TH AVE,Fatal/Injury Collision,8,2012
KING GEORGE BLVD / 68TH AVE,Fatal/Injury Collision,8,2012
152ND ST / 68TH AVE,Fatal/Injury Collision,8,2012
24TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,8,2012
64TH AVE / FRASER HWY,Fatal/Injury Collision,8,2012
