HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR
10000 121ST ST ,Fatal/Injury Collision,1,2011
9800  152ND ST,Fatal/Injury Collision,1,2011
9800  152ND ST,Fatal/Injury Collision,1,2011
18700 56A AVE ,Fatal/Injury Collision,1,2011
10400 132ND ST ,Fatal/Injury Collision,1,2011
7300 KING GEORGE BLVD,Fatal/Injury Collision,1,2011
17700 56TH AVE ,Fatal/Injury Collision,1,2011
8700 158TH ST ,Fatal/Injury Collision,1,2011
8600 144TH ST ,Fatal/Injury Collision,1,2011
12300 58A AVE ,Fatal/Injury Collision,1,2011
9000 158TH ST ,Fatal/Injury Collision,1,2011
12700 62ND AVE ,Fatal/Injury Collision,1,2011
8000 120TH ST ,Fatal/Injury Collision,1,2011
100TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
140TH ST / 84TH AVE,Fatal/Injury Collision,1,2011
192ND ST / 96TH AVE,Fatal/Injury Collision,1,2011
152ND ST / 32ND AVE,Fatal/Injury Collision,1,2011
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
64TH AVE / 122ND ST,Fatal/Injury Collision,1,2011
176TH ST / 48TH AVE,Fatal/Injury Collision,1,2011
168TH ST / 96TH AVE,Fatal/Injury Collision,1,2011
156TH ST / 64TH AVE,Fatal/Injury Collision,1,2011
102A AVE / 152ND ST,Fatal/Injury Collision,1,2011
168TH ST / 78TH AVE,Fatal/Injury Collision,1,2011
96TH AVE / GOLDEN EARS WAY,Fatal/Injury Collision,1,2011
176TH ST / FRASER HWY,Fatal/Injury Collision,1,2011
176TH ST / 64TH AVE,Fatal/Injury Collision,1,2011
88TH AVE / MALL ACCESS,Fatal/Injury Collision,1,2011
146A ST / 89TH AVE,Fatal/Injury Collision,1,2011
132ND ST / 58TH AVE,Fatal/Injury Collision,1,2011
KING GEORGE BLVD / COLEBROOK RD,Fatal/Injury Collision,1,2011
SCOTT RD / 100TH AVE,Fatal/Injury Collision,1,2011
130TH ST / 106A AVE,Fatal/Injury Collision,1,2011
108TH AVE / 160TH ST,Fatal/Injury Collision,1,2011
94TH AVE / 164TH ST,Fatal/Injury Collision,1,2011
126TH ST / 64TH AVE,Fatal/Injury Collision,1,2011
96TH AVE / 140TH ST,Fatal/Injury Collision,1,2011
72ND AVE / 120TH ST,Fatal/Injury Collision,1,2011
82ND AVE / 128TH ST,Fatal/Injury Collision,1,2011
56TH AVE / 188TH ST,Fatal/Injury Collision,1,2011
104TH AVE / 150TH ST,Fatal/Injury Collision,1,2011
164TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
40TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
168TH ST / FRASER HWY,Fatal/Injury Collision,1,2011
184TH ST / FRASER HWY,Fatal/Injury Collision,1,2011
104TH AVE / 132ND ST,Fatal/Injury Collision,1,2011
160TH ST / 96TH AVE,Fatal/Injury Collision,1,2011
176TH ST / FRASER HWY,Fatal/Injury Collision,1,2011
86TH AVE / 123RD ST,Fatal/Injury Collision,1,2011
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
152ND ST / FRASER HWY,Fatal/Injury Collision,1,2011
122ND ST / 72ND AVE,Fatal/Injury Collision,1,2011
176TH ST / 12TH AVE,Fatal/Injury Collision,1,2011
102A AVE / 152ND ST,Fatal/Injury Collision,1,2011
GATEWAY DR / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
152ND ST / 40TH AVE,Fatal/Injury Collision,1,2011
103A AVE / SCOTT RD,Fatal/Injury Collision,1,2011
177B ST / 56TH AVE,Fatal/Injury Collision,1,2011
98TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
36TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
64TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
104TH AVE / 160TH ST,Fatal/Injury Collision,1,2011
120TH ST / 72ND AVE,Fatal/Injury Collision,1,2011
130TH ST / 64TH AVE,Fatal/Injury Collision,1,2011
152A ST / 96TH AVE,Fatal/Injury Collision,1,2011
126TH ST / 68TH AVE,Fatal/Injury Collision,1,2011
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
24TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
56TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
SPENSER DR / 136B ST,Fatal/Injury Collision,1,2011
98TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
OLD YALE RD / 132ND ST,Fatal/Injury Collision,1,2011
SCOTT RD / 103A AVE,Fatal/Injury Collision,1,2011
160TH ST / 96TH AVE,Fatal/Injury Collision,1,2011
180TH ST / 60TH AVE,Fatal/Injury Collision,1,2011
166TH ST / FRASER HWY,Fatal/Injury Collision,1,2011
128TH ST / 96TH AVE,Fatal/Injury Collision,1,2011
32ND AVE ONRP / HWY 99,Fatal/Injury Collision,1,2011
120TH ST / 82ND AVE,Fatal/Injury Collision,1,2011
