,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3501,Fatal/Injury Collision,9400 160TH ST ,1,2011
3502,Fatal/Injury Collision,12800 108TH AVE ,1,2011
3503,Fatal/Injury Collision,15300 102A AVE ,1,2011
3504,Fatal/Injury Collision,7100  LEVY PL,1,2011
3505,Fatal/Injury Collision,10200 141ST ST ,1,2011
3506,Fatal/Injury Collision,19300 65TH AVE ,1,2011
3507,Fatal/Injury Collision,9200 123A ST ,1,2011
3508,Fatal/Injury Collision,8300 146TH ST ,1,2011
3509,Fatal/Injury Collision,9700  120TH ST,1,2011
3510,Fatal/Injury Collision,12800 OLD YALE RD,1,2011
3511,Fatal/Injury Collision,13800 100TH AVE ,1,2011
3512,Fatal/Injury Collision,18700 16TH AVE ,1,2011
3513,Fatal/Injury Collision,6900  124TH ST,1,2011
3514,Fatal/Injury Collision,18300 64TH AVE ,1,2011
3515,Fatal/Injury Collision,15400  COLEBROOK RD,1,2011
3516,Fatal/Injury Collision,15300 88TH AVE ,1,2011
3517,Fatal/Injury Collision,14100 108TH AVE ,1,2011
3518,Fatal/Injury Collision,7500 138TH ST ,1,2011
3519,Fatal/Injury Collision,13300 84TH AVE ,1,2011
3520,Fatal/Injury Collision,14400 109TH AVE ,1,2011
3521,Fatal/Injury Collision,15700 FRASER HWY ,1,2011
3522,Fatal/Injury Collision,13000 104TH AVE ,1,2011
3523,Fatal/Injury Collision,12700 KING GEORGE BLVD,1,2011
3524,Fatal/Injury Collision,8100 128TH ST ,1,2011
3525,Fatal/Injury Collision,9600 137A ST ,1,2011
3526,Fatal/Injury Collision,12200 66TH AVE ,1,2011
3527,Fatal/Injury Collision,14100 91ST AVE ,1,2011
3528,Fatal/Injury Collision,12800 KING GEORGE BLVD,1,2011
3529,Fatal/Injury Collision,10900 131A ST ,1,2011
3530,Fatal/Injury Collision,12400 82ND AVE ,1,2011
3531,Fatal/Injury Collision,8300 123RD ST ,1,2011
3532,Fatal/Injury Collision,13900 104TH AVE ,1,2011
3533,Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2011
3534,Fatal/Injury Collision,6700 128TH ST ,1,2011
3535,Fatal/Injury Collision,16400 GLENSIDE PL ,1,2011
3536,Fatal/Injury Collision,8400  166TH ST,1,2011
3537,Fatal/Injury Collision,10400 152ND ST ,1,2011
3538,Fatal/Injury Collision,13700 104TH AVE ,1,2011
3539,Fatal/Injury Collision,14900 57TH AVE ,1,2011
3540,Fatal/Injury Collision,10300 KING GEORGE BLVD,1,2011
3541,Fatal/Injury Collision,13200 62A AVE ,1,2011
3542,Fatal/Injury Collision,1800 152ND ST ,1,2011
3543,Fatal/Injury Collision,1800 152ND ST ,1,2011
3544,Fatal/Injury Collision,9600 KING GEORGE BLVD,1,2011
3545,Fatal/Injury Collision,12200 68TH AVE ,1,2011
3546,Fatal/Injury Collision,10600 135A ST ,1,2011
3547,Fatal/Injury Collision,7300 137TH ST ,1,2011
3548,Fatal/Injury Collision,10300 CITY PKWY ,1,2011
3549,Fatal/Injury Collision,12400 63A AVE ,1,2011
3550,Fatal/Injury Collision,12400 63A AVE ,1,2011
3551,Fatal/Injury Collision,16300 28TH AVE ,1,2011
3552,Fatal/Injury Collision,13200 89TH AVE ,1,2011
3553,Fatal/Injury Collision,10000 172ND ST ,1,2011
3554,Fatal/Injury Collision,2400 152ND ST ,1,2011
3555,Fatal/Injury Collision,15200 56TH AVE ,1,2011
3556,Fatal/Injury Collision,5800 177B ST ,1,2011
3557,Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2011
3558,Fatal/Injury Collision,13400 90TH AVE ,1,2011
