,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
38,Fatal/Injury Collision,152ND ST / 112TH AVE,1,2016
39,Fatal/Injury Collision,182ND ST / 60TH AVE,1,2016
40,Fatal/Injury Collision,98TH AVE / KING GEORGE BLVD,1,2016
41,Fatal/Injury Collision,8200 159TH ST,1,2016
42,Fatal/Injury Collision,15500 80TH AVE,1,2016
43,Fatal/Injury Collision,14800 24TH AVE,1,2016
44,Fatal/Injury Collision,176TH ST OFRP / TRANS CANADA HWY,1,2016
45,Fatal/Injury Collision,150TH ST / 104TH AVE,1,2016
46,Fatal/Injury Collision,64TH AVE / 184TH ST,1,2016
47,Fatal/Injury Collision,12000 68TH AVE,1,2016
48,Fatal/Injury Collision,9400 128TH ST,1,2016
93,Fatal/Injury Collision,88TH AVE / 164TH ST,1,2016
94,Fatal/Injury Collision,152ND ST / 82ND AVE,1,2016
95,Fatal/Injury Collision,KING GEORGE BLVD / 152ND ST,1,2016
96,Fatal/Injury Collision,177B ST / 56TH AVE,1,2016
97,Fatal/Injury Collision,KING GEORGE BLVD / 104TH AVE,1,2016
98,Fatal/Injury Collision,64TH AVE / 177B ST,1,2016
99,Fatal/Injury Collision,10300 152ND ST,1,2016
100,Fatal/Injury Collision,KING GEORGE BLVD / 102ND AVE,1,2016
101,Fatal/Injury Collision,180TH ST / 64TH AVE,1,2016
102,Fatal/Injury Collision,151ST ST / 100TH AVE,1,2016
103,Fatal/Injury Collision,156B ST / 40TH AVE,1,2016
104,Fatal/Injury Collision,152ND ST / 76TH AVE,1,2016
105,Fatal/Injury Collision,12600 94TH AVE,1,2016
106,Fatal/Injury Collision,3900 159TH ST,1,2016
107,Fatal/Injury Collision,15700 114TH AVE,1,2016
108,Fatal/Injury Collision,15700 114TH AVE,1,2016
109,Fatal/Injury Collision,1700 148TH ST,1,2016
110,Fatal/Injury Collision,7200 BLOCK 130A ST,1,2016
111,Fatal/Injury Collision,8600 148TH ST,1,2016
112,Fatal/Injury Collision,OLD YALE RD / SCOTT RD,1,2016
113,Fatal/Injury Collision,88TH AVE / 176TH ST,1,2016
114,Fatal/Injury Collision,88TH AVE / 142A ST,1,2016
115,Fatal/Injury Collision,152ND ST / 100TH AVE,1,2016
116,Fatal/Injury Collision,10300 152ND ST,1,2016
117,Fatal/Injury Collision,14600 80A AVE,1,2016
152,Fatal/Injury Collision,KING GEORGE BLVD / 104TH AVE,1,2016
153,Fatal/Injury Collision,UNIVERSITY DR / KING GEORGE BLVD,1,2016
154,Fatal/Injury Collision,124TH ST / 99TH AVE,1,2016
155,Fatal/Injury Collision,58TH AVE / 132ND ST,1,2016
