,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
49,Fatal/Injury Collision,7500 144A ST,1,2015
53,Fatal/Injury Collision,64TH AVE / 132ND ST,1,2015
54,Fatal/Injury Collision,84TH AVE / 144TH ST,1,2015
56,Fatal/Injury Collision,82ND AVE / 154B ST,1,2015
57,Fatal/Injury Collision,61ST AVE / 168TH ST,1,2015
59,Fatal/Injury Collision,180TH ST / 58TH AVE,1,2015
61,Fatal/Injury Collision,184TH ST / 64TH AVE,1,2015
62,Fatal/Injury Collision,104TH AVE / KING GEORGE BLVD,1,2015
63,Fatal/Injury Collision,104TH AVE / KING GEORGE BLVD,1,2015
83,Fatal/Injury Collision,10200 BLOCK GRACE RD,1,2015
100,Fatal/Injury Collision,12900 98B AVE,1,2015
106,Fatal/Injury Collision,13700 60TH AVE,1,2015
129,Fatal/Injury Collision,19000 96TH AVE,1,2015
135,Fatal/Injury Collision,160TH ST / 104TH AVE,1,2015
136,Fatal/Injury Collision,KING GEORGE BLVD / 104TH AVE,1,2015
137,Fatal/Injury Collision,88TH AVE / 120TH ST,1,2015
138,Fatal/Injury Collision,101B AVE / 121ST ST,1,2015
139,Fatal/Injury Collision,98TH AVE / 130TH ST,1,2015
140,Fatal/Injury Collision,109TH AVE / 140TH ST,1,2015
141,Fatal/Injury Collision,104TH AVE / 156TH ST,1,2015
142,Fatal/Injury Collision,97A AVE / 158B ST,1,2015
144,Fatal/Injury Collision,144TH ST / 72ND AVE,1,2015
145,Fatal/Injury Collision,132ND ST / 82A AVE,1,2015
148,Fatal/Injury Collision,FRASER HWY / 88TH AVE,1,2015
149,Fatal/Injury Collision,176TH ST / 96TH AVE,1,2015
150,Fatal/Injury Collision,132ND ST / 96TH AVE,1,2015
151,Fatal/Injury Collision,148TH ST / FRASER HWY,1,2015
153,Fatal/Injury Collision,105TH AVE / KING GEORGE BLVD,1,2015
154,Fatal/Injury Collision,96TH AVE / KING GEORGE BLVD,1,2015
155,Fatal/Injury Collision,CROYDON DR / MALL ACCESS,1,2015
156,Fatal/Injury Collision,103A AVE / SCOTT RD,1,2015
172,Fatal/Injury Collision,8700 162ND ST,1,2015
176,Fatal/Injury Collision,10000 152ND ST,1,2015
188,Fatal/Injury Collision,10900 164TH ST,1,2015
203,Fatal/Injury Collision,13300 82B AVE,1,2015
223,Fatal/Injury Collision,KING GEORGE BLVD / 102ND AVE,1,2015
224,Fatal/Injury Collision,138A ST / 104TH AVE,1,2015
225,Fatal/Injury Collision,84TH AVE / 124TH ST,1,2015
228,Fatal/Injury Collision,56TH AVE / 176TH ST,1,2015
229,Fatal/Injury Collision,144TH ST / 89A AVE,1,2015
230,Fatal/Injury Collision,KING GEORGE BLVD / 96TH AVE,1,2015
