,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3504,Fatal/Injury Collision,5900 128TH ST ,1,2013
3505,Fatal/Injury Collision,10100 KING GEORGE BLVD,1,2013
3506,Fatal/Injury Collision,2500 161A ST ,1,2013
3507,Fatal/Injury Collision,15800 104TH AVE ,1,2013
3508,Fatal/Injury Collision,15000 87B AVE ,1,2013
3509,Fatal/Injury Collision,12300 88TH AVE ,1,2013
3510,Fatal/Injury Collision,4300 152ND ST ,1,2013
3511,Fatal/Injury Collision,12200  90TH AVE,1,2013
3512,Fatal/Injury Collision,18200  32ND AVE,1,2013
3513,Fatal/Injury Collision,12100 64TH AVE ,1,2013
3514,Fatal/Injury Collision,14400 114A AVE ,1,2013
3515,Fatal/Injury Collision,2400 KING GEORGE BLVD,1,2013
3516,Fatal/Injury Collision,15600 101A AVE ,1,2013
3517,Fatal/Injury Collision,16100 FRASER HWY ,1,2013
3518,Fatal/Injury Collision,19500 96TH AVE ,1,2013
3519,Fatal/Injury Collision,7700 192ND ST ,1,2013
3520,Fatal/Injury Collision,5500 176TH ST ,1,2013
3521,Fatal/Injury Collision,9300 132ND ST ,1,2013
3522,Fatal/Injury Collision,17400 60TH AVE ,1,2013
3523,Fatal/Injury Collision,8100  134TH ST,1,2013
3524,Fatal/Injury Collision,2900 CROYDON DR ,1,2013
3525,Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2013
3526,Fatal/Injury Collision,12800 72ND AVE ,1,2013
3527,Fatal/Injury Collision,1700 152ND ST ,1,2013
3528,Fatal/Injury Collision,9600 151ST ST ,1,2013
3529,Fatal/Injury Collision,7400 120TH ST ,1,2013
3530,Fatal/Injury Collision,16100 48TH AVE ,1,2013
3531,Fatal/Injury Collision,17900 56TH AVE ,1,2013
3532,Fatal/Injury Collision,13300 KING GEORGE BLVD,1,2013
3533,Fatal/Injury Collision,8400 141A ST ,1,2013
3534,Fatal/Injury Collision,2500 137TH ST ,1,2013
3535,Fatal/Injury Collision,8600 160TH ST ,1,2013
3536,Fatal/Injury Collision,7800 164TH ST ,1,2013
3537,Fatal/Injury Collision,6600 172ND ST ,1,2013
3538,Fatal/Injury Collision,6600 172ND ST ,1,2013
3539,Fatal/Injury Collision,6300 128TH ST ,1,2013
3540,Fatal/Injury Collision,10300 KING GEORGE BLVD,1,2013
3541,Fatal/Injury Collision,18400 60TH AVE ,1,2013
3542,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013
3543,Fatal/Injury Collision,15300 24TH AVE ,1,2013
3544,Fatal/Injury Collision,15100 56TH AVE ,1,2013
3545,Fatal/Injury Collision,14700 32ND AVE ,1,2013
3546,Fatal/Injury Collision,13300 102ND AVE ,1,2013
3547,Fatal/Injury Collision,15200  96TH AVE,1,2013
3548,Fatal/Injury Collision,15200  96TH AVE,1,2013
3549,Fatal/Injury Collision,13600 72ND AVE ,1,2013
3550,Fatal/Injury Collision,13600 72ND AVE ,1,2013
3551,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013
3552,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013
3553,Fatal/Injury Collision,10100 156TH ST ,1,2013
3554,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013
3555,Fatal/Injury Collision,15000 91A AVE ,1,2013
3556,Fatal/Injury Collision,10100 KING GEORGE BLVD,1,2013
3557,Fatal/Injury Collision,1600 MARTIN DR ,1,2013
3558,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013
3559,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013
3560,Fatal/Injury Collision,7700 128TH ST ,1,2013
3561,Fatal/Injury Collision,12500 OLD YALE RD,1,2013
3562,Fatal/Injury Collision,6200 132A ST ,1,2013
3563,Fatal/Injury Collision,14600 104TH AVE ,1,2013
3564,Fatal/Injury Collision,16400 64TH AVE ,1,2013
3565,Fatal/Injury Collision,15200 FRASER HWY ,1,2013
3566,Fatal/Injury Collision,18500 92ND AVE ,1,2013
3567,Fatal/Injury Collision,12400 74A AVE ,1,2013
3568,Fatal/Injury Collision,8600 147TH ST ,1,2013
3569,Fatal/Injury Collision,9900 128TH ST ,1,2013
3570,Fatal/Injury Collision,100 176TH ST ,1,2013
3571,Fatal/Injury Collision,10000 150TH ST ,1,2013
3572,Fatal/Injury Collision,10600 150TH ST ,1,2013
3573,Fatal/Injury Collision,1700 KING GEORGE BLVD,1,2013
3574,Fatal/Injury Collision,8200 166TH ST ,1,2013
3575,Fatal/Injury Collision,7900 139A ST ,1,2013
3576,Fatal/Injury Collision,18700 68A AVE ,1,2013
3577,Fatal/Injury Collision,1700 152ND ST ,1,2013
3578,Fatal/Injury Collision,1700 152ND ST ,1,2013
3579,Fatal/Injury Collision,12400 64TH AVE ,1,2013
3580,Fatal/Injury Collision,13800 104TH AVE ,1,2013
3581,Fatal/Injury Collision,2900 KING GEORGE BLVD,1,2013
3582,Fatal/Injury Collision,16600 64TH AVE ,1,2013
3583,Fatal/Injury Collision,16600 64TH AVE ,1,2013
3584,Fatal/Injury Collision,10100 168TH ST ,1,2013
3585,Fatal/Injury Collision,9600 KING GEORGE BLVD,1,2013
3586,Fatal/Injury Collision,16600 92A AVE ,1,2013
3587,Fatal/Injury Collision,17000 96TH AVE ,1,2013
3588,Fatal/Injury Collision,18000  FRASER HWY,1,2013
3589,Fatal/Injury Collision,13400 CRESCENT RD ,1,2013
3590,Fatal/Injury Collision,12300 KING GEORGE BLVD,1,2013
3591,Fatal/Injury Collision,14500  100TH AVE,1,2013
3592,Fatal/Injury Collision,15100  104TH AVE,1,2013
3593,Fatal/Injury Collision,7300 KING GEORGE BLVD,1,2013
3594,Fatal/Injury Collision,8900 120TH ST ,1,2013
3595,Fatal/Injury Collision,7600 KING GEORGE BLVD,1,2013
3596,Fatal/Injury Collision,15300 86TH AVE ,1,2013
3597,Fatal/Injury Collision,5900 131A ST ,1,2013
3598,Fatal/Injury Collision,12600 KING GEORGE BLVD,1,2013
3599,Fatal/Injury Collision,12600 KING GEORGE BLVD,1,2013
3600,Fatal/Injury Collision,2400 KING GEORGE BLVD,1,2013
3601,Fatal/Injury Collision,12700 67A AVE ,1,2013
3602,Fatal/Injury Collision,13900 FRASER HWY ,1,2013
3603,Fatal/Injury Collision,14200 88TH AVE ,1,2013
3604,Fatal/Injury Collision,14300 57TH AVE ,1,2013
3605,Fatal/Injury Collision,11000 SCOTT RD ,1,2013
3606,Fatal/Injury Collision,6300 175B ST ,1,2013
3607,Fatal/Injury Collision,13300 98A AVE ,1,2013
3608,Fatal/Injury Collision,1700 152ND ST ,1,2013
3609,Fatal/Injury Collision,6100 KING GEORGE BLVD,1,2013
3610,Fatal/Injury Collision,10100 KING GEORGE BLVD,1,2013
3611,Fatal/Injury Collision,15000 101ST AVE ,1,2013
3612,Fatal/Injury Collision,8400 120TH ST ,1,2013
3613,Fatal/Injury Collision,14700 108TH AVE ,1,2013
3614,Fatal/Injury Collision,3600 KING GEORGE BLVD,1,2013
3615,Fatal/Injury Collision,9200 138TH ST ,1,2013
3616,Fatal/Injury Collision,10800 CITY PKWY ,1,2013
3617,Fatal/Injury Collision,13300 OLD YALE RD,1,2013
3618,Fatal/Injury Collision,7300  138TH ST,1,2013
3619,Fatal/Injury Collision,12700 67A AVE ,1,2013
3620,Fatal/Injury Collision,9600 128TH ST ,1,2013
3621,Fatal/Injury Collision,8400 148A ST ,1,2013
3622,Fatal/Injury Collision,12900 100TH AVE ,1,2013
3623,Fatal/Injury Collision,13000 60A AVE ,1,2013
3624,Fatal/Injury Collision,18000 72ND AVE ,1,2013
3625,Fatal/Injury Collision,19300 96TH AVE ,1,2013
3626,Fatal/Injury Collision,10400 152ND ST ,1,2013
3627,Fatal/Injury Collision,13000  COLEBROOK RD,1,2013
3628,Fatal/Injury Collision,10500  150TH ST,1,2013
3629,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013
3630,Fatal/Injury Collision,12900 59TH AVE ,1,2013
3631,Fatal/Injury Collision,11600 97A AVE ,1,2013
3632,Fatal/Injury Collision,11600 97A AVE ,1,2013
3633,Fatal/Injury Collision,6000 176TH ST ,1,2013
3634,Fatal/Injury Collision,6000 176TH ST ,1,2013
3635,Fatal/Injury Collision,17700 60TH AVE ,1,2013
3636,Fatal/Injury Collision,8900 160TH ST ,1,2013
3637,Fatal/Injury Collision,19200  56TH AVE,1,2013
3638,Fatal/Injury Collision,1900  184TH ST,1,2013
3639,Fatal/Injury Collision,7300 130TH ST ,1,2013
3640,Fatal/Injury Collision,13200 90TH AVE ,1,2013
3641,Fatal/Injury Collision,9000 149TH ST ,1,2013
3642,Fatal/Injury Collision,13700 96TH AVE ,1,2013
3643,Fatal/Injury Collision,12700 98TH AVE ,1,2013
3644,Fatal/Injury Collision,15500 FRASER HWY ,1,2013
3645,Fatal/Injury Collision,124TH ST / 73RD AVE,1,2013
3646,Fatal/Injury Collision,168TH ST / 86TH AVE,1,2013
3647,Fatal/Injury Collision,104TH AVE / 104A AVE,1,2013
3648,Fatal/Injury Collision,88TH AVE / 132ND ST,1,2013
3649,Fatal/Injury Collision,152ND ST / 84TH AVE,1,2013
3650,Fatal/Injury Collision,58TH AVE / 176TH ST,1,2013
3651,Fatal/Injury Collision,58TH AVE / KING GEORGE BLVD,1,2013
3652,Fatal/Injury Collision,WHALLEY BLVD / 102ND AVE,1,2013
3653,Fatal/Injury Collision,146TH ST / 76A AVE,1,2013
3654,Fatal/Injury Collision,106TH AVE / 135A ST,1,2013
3655,Fatal/Injury Collision,196TH ST / 64TH AVE,1,2013
3656,Fatal/Injury Collision,191ST ST / 72ND AVE,1,2013
3657,Fatal/Injury Collision,40TH AVE / 152ND ST,1,2013
3658,Fatal/Injury Collision,OLD YALE RD / SCOTT RD,1,2013
3659,Fatal/Injury Collision,0TH AVE / 194TH ST,1,2013
3660,Fatal/Injury Collision,120TH ST / SUNWOOD DR,1,2013
3661,Fatal/Injury Collision,104TH AVE / 152ND ST,1,2013
3662,Fatal/Injury Collision,72ND AVE / 137TH ST,1,2013
3663,Fatal/Injury Collision,160TH ST / FRASER HWY,1,2013
3664,Fatal/Injury Collision,100TH AVE / WHALLEY BLVD,1,2013
3665,Fatal/Injury Collision,168TH ST / FRASER HWY,1,2013
