,Unnamed: 0,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3593,3593,Fatal/Injury Collision,12700 112B AVE ,1,2011
3594,3594,Fatal/Injury Collision,14600 104TH AVE ,1,2011
3595,3595,Fatal/Injury Collision,13400 108TH AVE ,1,2011
3596,3596,Fatal/Injury Collision,13300 105TH AVE ,1,2011
3597,3597,Fatal/Injury Collision,10300 152ND ST ,1,2011
3598,3598,Fatal/Injury Collision,12400 88TH AVE ,1,2011
3599,3599,Fatal/Injury Collision,13300 88TH AVE ,1,2011
3600,3600,Fatal/Injury Collision,14300 90TH AVE ,1,2011
3601,3601,Fatal/Injury Collision,8200 166TH ST ,1,2011
3602,3602,Fatal/Injury Collision,8200 166TH ST ,1,2011
3603,3603,Fatal/Injury Collision,10900 128A ST ,1,2011
3604,3604,Fatal/Injury Collision,19300 22ND AVE ,1,2011
3605,3605,Fatal/Injury Collision,7300 KING GEORGE BLVD,1,2011
3606,3606,Fatal/Injury Collision,10800 132ND ST ,1,2011
3607,3607,Fatal/Injury Collision,8400 160TH ST ,1,2011
3608,3608,Fatal/Injury Collision,7400 KING GEORGE BLVD,1,2011
3609,3609,Fatal/Injury Collision,17900 68TH AVE ,1,2011
3610,3610,Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2011
3611,3611,Fatal/Injury Collision,7300 122ND ST ,1,2011
3612,3612,Fatal/Injury Collision,17000  64TH AVE,1,2011
3613,3613,Fatal/Injury Collision,10000 121ST ST ,1,2011
3614,3614,Fatal/Injury Collision,9800  152ND ST,1,2011
3615,3615,Fatal/Injury Collision,9800  152ND ST,1,2011
3616,3616,Fatal/Injury Collision,18700 56A AVE ,1,2011
3617,3617,Fatal/Injury Collision,10400 132ND ST ,1,2011
3618,3618,Fatal/Injury Collision,7300 KING GEORGE BLVD,1,2011
3619,3619,Fatal/Injury Collision,17700 56TH AVE ,1,2011
3620,3620,Fatal/Injury Collision,8700 158TH ST ,1,2011
3621,3621,Fatal/Injury Collision,8600 144TH ST ,1,2011
3622,3622,Fatal/Injury Collision,12300 58A AVE ,1,2011
3623,3623,Fatal/Injury Collision,9000 158TH ST ,1,2011
3624,3624,Fatal/Injury Collision,12700 62ND AVE ,1,2011
3625,3625,Fatal/Injury Collision,8000 120TH ST ,1,2011
3626,3626,Fatal/Injury Collision,100TH AVE / KING GEORGE BLVD,1,2011
3627,3627,Fatal/Injury Collision,140TH ST / 84TH AVE,1,2011
3628,3628,Fatal/Injury Collision,192ND ST / 96TH AVE,1,2011
3629,3629,Fatal/Injury Collision,152ND ST / 32ND AVE,1,2011
3630,3630,Fatal/Injury Collision,102ND AVE / KING GEORGE BLVD,1,2011
3631,3631,Fatal/Injury Collision,64TH AVE / 122ND ST,1,2011
3632,3632,Fatal/Injury Collision,176TH ST / 48TH AVE,1,2011
3633,3633,Fatal/Injury Collision,168TH ST / 96TH AVE,1,2011
3634,3634,Fatal/Injury Collision,156TH ST / 64TH AVE,1,2011
3635,3635,Fatal/Injury Collision,102A AVE / 152ND ST,1,2011
3636,3636,Fatal/Injury Collision,168TH ST / 78TH AVE,1,2011
3637,3637,Fatal/Injury Collision,96TH AVE / GOLDEN EARS WAY,1,2011
3638,3638,Fatal/Injury Collision,176TH ST / FRASER HWY,1,2011
3639,3639,Fatal/Injury Collision,176TH ST / 64TH AVE,1,2011
3640,3640,Fatal/Injury Collision,88TH AVE / MALL ACCESS,1,2011
3641,3641,Fatal/Injury Collision,146A ST / 89TH AVE,1,2011
3642,3642,Fatal/Injury Collision,132ND ST / 58TH AVE,1,2011
3643,3643,Fatal/Injury Collision,KING GEORGE BLVD / COLEBROOK RD,1,2011
3644,3644,Fatal/Injury Collision,SCOTT RD / 100TH AVE,1,2011
3645,3645,Fatal/Injury Collision,130TH ST / 106A AVE,1,2011
3646,3646,Fatal/Injury Collision,108TH AVE / 160TH ST,1,2011
3647,3647,Fatal/Injury Collision,94TH AVE / 164TH ST,1,2011
3648,3648,Fatal/Injury Collision,126TH ST / 64TH AVE,1,2011
3649,3649,Fatal/Injury Collision,96TH AVE / 140TH ST,1,2011
3650,3650,Fatal/Injury Collision,72ND AVE / 120TH ST,1,2011
3651,3651,Fatal/Injury Collision,82ND AVE / 128TH ST,1,2011
3652,3652,Fatal/Injury Collision,56TH AVE / 188TH ST,1,2011
3653,3653,Fatal/Injury Collision,104TH AVE / 150TH ST,1,2011
3654,3654,Fatal/Injury Collision,164TH ST / KING GEORGE BLVD,1,2011
3655,3655,Fatal/Injury Collision,40TH AVE / 152ND ST,1,2011
3656,3656,Fatal/Injury Collision,168TH ST / FRASER HWY,1,2011
3657,3657,Fatal/Injury Collision,184TH ST / FRASER HWY,1,2011
3658,3658,Fatal/Injury Collision,104TH AVE / 132ND ST,1,2011
3659,3659,Fatal/Injury Collision,160TH ST / 96TH AVE,1,2011
3660,3660,Fatal/Injury Collision,176TH ST / FRASER HWY,1,2011
3661,3661,Fatal/Injury Collision,86TH AVE / 123RD ST,1,2011
3662,3662,Fatal/Injury Collision,72ND AVE / KING GEORGE BLVD,1,2011
3663,3663,Fatal/Injury Collision,152ND ST / FRASER HWY,1,2011
3664,3664,Fatal/Injury Collision,122ND ST / 72ND AVE,1,2011
3665,3665,Fatal/Injury Collision,176TH ST / 12TH AVE,1,2011
3666,3666,Fatal/Injury Collision,102A AVE / 152ND ST,1,2011
3667,3667,Fatal/Injury Collision,GATEWAY DR / KING GEORGE BLVD,1,2011
3668,3668,Fatal/Injury Collision,152ND ST / 40TH AVE,1,2011
3669,3669,Fatal/Injury Collision,103A AVE / SCOTT RD,1,2011
3670,3670,Fatal/Injury Collision,177B ST / 56TH AVE,1,2011
3671,3671,Fatal/Injury Collision,98TH AVE / KING GEORGE BLVD,1,2011
3672,3672,Fatal/Injury Collision,36TH AVE / 152ND ST,1,2011
3673,3673,Fatal/Injury Collision,64TH AVE / 152ND ST,1,2011
3674,3674,Fatal/Injury Collision,104TH AVE / 160TH ST,1,2011
3675,3675,Fatal/Injury Collision,120TH ST / 72ND AVE,1,2011
3676,3676,Fatal/Injury Collision,130TH ST / 64TH AVE,1,2011
3677,3677,Fatal/Injury Collision,152A ST / 96TH AVE,1,2011
3678,3678,Fatal/Injury Collision,126TH ST / 68TH AVE,1,2011
3679,3679,Fatal/Injury Collision,128TH ST / KING GEORGE BLVD,1,2011
3680,3680,Fatal/Injury Collision,24TH AVE / 152ND ST,1,2011
3681,3681,Fatal/Injury Collision,56TH AVE / 152ND ST,1,2011
3682,3682,Fatal/Injury Collision,SPENSER DR / 136B ST,1,2011
3683,3683,Fatal/Injury Collision,98TH AVE / KING GEORGE BLVD,1,2011
3684,3684,Fatal/Injury Collision,OLD YALE RD / 132ND ST,1,2011
3685,3685,Fatal/Injury Collision,SCOTT RD / 103A AVE,1,2011
3686,3686,Fatal/Injury Collision,160TH ST / 96TH AVE,1,2011
3687,3687,Fatal/Injury Collision,180TH ST / 60TH AVE,1,2011
3688,3688,Fatal/Injury Collision,166TH ST / FRASER HWY,1,2011
3689,3689,Fatal/Injury Collision,128TH ST / 96TH AVE,1,2011
3690,3690,Fatal/Injury Collision,32ND AVE ONRP / HWY 99,1,2011
3691,3691,Fatal/Injury Collision,120TH ST / 82ND AVE,1,2011
3692,3692,Fatal/Injury Collision,160TH ST / 40TH AVE,1,2011
3693,3693,Fatal/Injury Collision,188TH ST / 56TH AVE,1,2011
3694,3694,Fatal/Injury Collision,128TH ST / 80TH AVE,1,2011
3695,3695,Fatal/Injury Collision,SCOTT RD / LARSON RD,1,2011
3696,3696,Fatal/Injury Collision,16TH AVE / KING GEORGE BLVD,1,2011
3697,3697,Fatal/Injury Collision,168TH ST / 20TH AVE,1,2011
3698,3698,Fatal/Injury Collision,96TH AVE / 192ND ST,1,2011
3699,3699,Fatal/Injury Collision,96TH AVE / 120TH ST,1,2011
3700,3700,Fatal/Injury Collision,112A AVE / BRIDGEVIEW DR,1,2011
3701,3701,Fatal/Injury Collision,144TH ST / 88TH AVE,1,2011
3702,3702,Fatal/Injury Collision,SUNWOOD DR / 120TH ST,1,2011
3703,3703,Fatal/Injury Collision,108TH AVE / 132ND ST,1,2011
3704,3704,Fatal/Injury Collision,60TH AVE / MORGAN DR,1,2011
3705,3705,Fatal/Injury Collision,138TH ST / 104TH AVE,1,2011
3706,3706,Fatal/Injury Collision,138TH ST / 104TH AVE,1,2011
3707,3707,Fatal/Injury Collision,24TH AVE / 152ND ST,1,2011
3708,3708,Fatal/Injury Collision,76TH AVE / 144TH ST,1,2011
3709,3709,Fatal/Injury Collision,16TH AVE / 132ND ST,1,2011
3710,3710,Fatal/Injury Collision,84TH AVE / FRASER HWY,1,2011
3711,3711,Fatal/Injury Collision,72ND AVE / 132ND ST,1,2011
3712,3712,Fatal/Injury Collision,140TH ST / 64TH AVE,1,2011
3713,3713,Fatal/Injury Collision,KING GEORGE BLVD / 76TH AVE,1,2011
3714,3714,Fatal/Injury Collision,108TH AVE / 148TH ST,1,2011
3715,3715,Fatal/Injury Collision,156TH ST / 104TH AVE,1,2011
3716,3716,Fatal/Injury Collision,88TH AVE / 120TH ST,1,2011
3717,3717,Fatal/Injury Collision,152ND ST / 40TH AVE,1,2011
3718,3718,Fatal/Injury Collision,128TH ST / KING GEORGE BLVD,1,2011
3719,3719,Fatal/Injury Collision,102ND AVE / KING GEORGE BLVD,1,2011
3720,3720,Fatal/Injury Collision,150TH ST / 88TH AVE,1,2011
3721,3721,Fatal/Injury Collision,156TH ST / 102ND AVE,1,2011
3722,3722,Fatal/Injury Collision,153RD ST / 105TH AVE,1,2011
3723,3723,Fatal/Injury Collision,57TH AVE / PANORAMA DR,1,2011
3724,3724,Fatal/Injury Collision,CRESCENT RD / 140TH ST,1,2011
3725,3725,Fatal/Injury Collision,KING GEORGE BLVD / COLEBROOK RD,1,2011
3726,3726,Fatal/Injury Collision,88TH AVE / KING GEORGE BLVD,1,2011
3727,3727,Fatal/Injury Collision,56TH AVE / 180TH ST,1,2011
3728,3728,Fatal/Injury Collision,ELEVATOR RD / RIVER RD,1,2011
3729,3729,Fatal/Injury Collision,88TH AVE / 152ND ST,1,2011
3730,3730,Fatal/Injury Collision,96TH AVE / 128TH ST,1,2011
3731,3731,Fatal/Injury Collision,156TH ST / 104TH AVE,1,2011
3732,3732,Fatal/Injury Collision,68TH AVE / 126TH ST,1,2011
3733,3733,Fatal/Injury Collision,96TH AVE / 128TH ST,1,2011
3734,3734,Fatal/Injury Collision,80TH AVE / 128TH ST,1,2011
3735,3735,Fatal/Injury Collision,102ND AVE / 133A ST,1,2011
3736,3736,Fatal/Injury Collision,153RD ST / 24TH AVE,1,2011
3737,3737,Fatal/Injury Collision,120TH ST / 101ST AVE,1,2011
3738,3738,Fatal/Injury Collision,132ND ST / 96TH AVE,1,2011
3739,3739,Fatal/Injury Collision,144TH ST / 64TH AVE,1,2011
3740,3740,Fatal/Injury Collision,99TH AVE / 120TH ST,1,2011
3741,3741,Fatal/Injury Collision,80TH AVE / 128TH ST,1,2011
3742,3742,Fatal/Injury Collision,HYLAND RD / 140TH ST,1,2011
3743,3743,Fatal/Injury Collision,KING GEORGE BLVD / 76TH AVE,1,2011
3744,3744,Fatal/Injury Collision,88TH AVE / FRASER HWY,1,2011
3745,3745,Fatal/Injury Collision,TRANS CANADA HWY / 176TH ST ONRP,1,2011
3746,3746,Fatal/Injury Collision,17TH AVE / 152ND ST,1,2011
3747,3747,Fatal/Injury Collision,140TH ST / 102ND AVE,1,2011
3748,3748,Fatal/Injury Collision,126TH ST / 90TH AVE,1,2011
3749,3749,Fatal/Injury Collision,196TH ST / 64TH AVE,1,2011
3750,3750,Fatal/Injury Collision,57TH AVE / 177B ST,1,2011
3751,3751,Fatal/Injury Collision,68TH AVE / KING GEORGE BLVD,1,2011
3752,3752,Fatal/Injury Collision,96TH AVE / 168TH ST,1,2011
3753,3753,Fatal/Injury Collision,FRASER HWY / 138TH ST,1,2011
3754,3754,Fatal/Injury Collision,KING RD / 141A ST,1,2011
3755,3755,Fatal/Injury Collision,64TH AVE / 148TH ST,1,2011
3756,3756,Fatal/Injury Collision,142ND ST / HYLAND RD,1,2011
3757,3757,Fatal/Injury Collision,68A AVE / HELSTON CRES,1,2011
3758,3758,Fatal/Injury Collision,72ND AVE / 150TH ST,1,2011
